"","1078764__28111_411489","40214__40324","322095__817_328813","562__53345","28111__411489","39492__1118061","291645__1283_166486","626930__28117_357276","817__328813","1286__33039_338188","376804__310298_387090","54291__158836","28126__40518_384638","626933__218538_487174","1283__166486","454155__296_550","1623__33043_363265","329__39496_147207","1363__287_1351","47770__46228_310297","582__820_239935","457412__291644_751585","28117__357276","1354__573_40545","552398__626932_626940","1582__1680_216816","818__301301","74426__571_37734","43765__823_1735","674529__39491_46506","40519__853_39485","33039__338188","218538__487174","39486__100886_165179","40518__384638","501496__28116_204516","46228__310297","820__239935","287__1351","33043__363265","573__40545","310298__387090","296__550","626932__626940","28125__45851_360807","39491__46506","291644__751585","100886__165179","853__39485","1680__216816","28116__204516","823__1735","329854__626929","665951__46503_88431","729__40520","45851__360807","571__37734","1282__29382","46503__88431","29361__39488","624__2173_658081","1352__1353","1689__33038","39496__147207","2173__658081","28130__116085"
"ERR2242074",0,0,0,6.1553086867167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6750207213762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.90122099315426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2242077",0,0,0,6.51007242309466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.59918968060865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5019285853229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2242079",0,0,0,6.38682575179729,0,0,0,0,0,0,0,3.5167536504497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45644833148625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.495428534387047,0,0,0,0,-1.68243915509156,0,0,0,0
"ERR2242091",0,0,0,6.07303528212006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.47253028963148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.01459889246359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135637192840222,0,0,0,0
"ERR2242103",0,0,0,6.13255835409181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06535602589174,0,0,0,0,0,0,0,0
"ERR2242107",0,0,0,6.44031698570007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.20355959850431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.81667718211553,0,0,0,0,0,0,0,0,0
"ERR2242115",0,0,0,6.49298110426723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78316617652938,0,0,0,0
"ERR2242121",0,0,0,6.80992492782299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.04010944977896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.53357322001854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2242129",0,0,0,4.21942035524259,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74373904874371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.36480032000557,0,0,0,0,0,0,0,0
"ERR2242134",0,0,0,6.53707435369028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.97677721271102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.42387856765988,0,0,0,0,0,0,0,0,0
